"","latitude","longitude","date","year","time_frame"
"110",28.140914,-82.241198,2018-06-03,2018,"T2"
"111",43.573585,-73.398332,2018-06-18,2018,"T2"
"112",44.479405,-77.301317,2018-06-02,2018,"T2"
"113",43.066087,-79.386895,2018-06-03,2018,"T2"
"114",30.160099,-92.121025,2018-06-02,2018,"T2"
"115",45.117459,-74.078072,2018-06-09,2018,"T2"
"116",43.581044,-73.402405,2018-06-24,2018,"T2"
"117",44.479963,-77.304156,2018-06-10,2018,"T2"
"118",34.004336,-84.381247,2018-06-30,2018,"T2"
"119",43.201643,-79.815492,2018-06-17,2018,"T2"
"120",43.573732,-73.398111,2018-06-11,2018,"T2"
"121",39.642472,-84.17894,2018-06-10,2018,"T2"
"122",43.443567,-80.244284,2018-06-12,2018,"T2"
"123",44.492291,-76.019231,2018-06-16,2018,"T2"
"124",41.29834,-89.024956,2018-06-26,2018,"T2"
"125",30.187419,-93.24584,2018-06-01,2018,"T2"
"126",43.383348,-73.613577,2018-06-13,2018,"T2"
"127",28.533236,-80.802459,2018-06-22,2018,"T2"
"128",43.41981,-80.120037,2018-06-15,2018,"T2"
"129",44.341722,-73.124601,2018-06-02,2018,"T2"
"130",43.596308,-73.413382,2018-06-02,2018,"T2"
"131",42.997364,-76.097336,2018-06-21,2018,"T2"
"132",42.811062,-73.889259,2018-06-02,2018,"T2"
"133",43.516133,-85.714164,2018-06-07,2018,"T2"
"134",30.539073,-90.936594,2018-06-28,2018,"T2"
"135",30.213352,-84.261701,2018-06-26,2018,"T2"
"136",31.760902,-84.873177,2018-06-07,2018,"T2"
"137",44.481315,-77.30519,2018-06-09,2018,"T2"
"138",41.532936,-88.022131,2018-06-25,2018,"T2"
"139",44.057559,-92.052923,2018-06-06,2018,"T2"
"140",30.497402,-92.3965,2018-06-05,2018,"T2"
"141",38.589752,-92.232952,2018-06-12,2018,"T2"
"142",29.668291,-82.238245,2018-06-15,2018,"T2"
"143",44.769087,-76.2464,2018-06-07,2018,"T2"
"144",29.660508,-82.315103,2018-06-13,2018,"T2"
"145",28.504288,-80.950434,2018-06-29,2018,"T2"
"146",27.904579,-82.663425,2018-06-04,2018,"T2"
"147",29.642808,-82.34478,2018-06-12,2018,"T2"
"148",38.587768,-92.234387,2018-06-30,2018,"T2"
"149",44.694627,-73.340964,2018-06-12,2018,"T2"
"150",27.498382,-81.497368,2018-06-02,2018,"T2"
"151",41.831485,-91.719704,2018-07-17,2018,"T2"
"152",43.081933,-77.670278,2018-07-31,2018,"T2"
"153",39.144573,-84.508617,2018-07-18,2018,"T2"
"154",40.955649,-83.548606,2018-07-18,2018,"T2"
"155",42.795823,-88.693528,2018-07-28,2018,"T2"
"156",43.349422,-80.112052,2018-07-28,2018,"T2"
"157",41.884696,-80.593364,2018-07-21,2018,"T2"
"158",45.491722,-75.916609,2018-07-31,2018,"T2"
"159",41.408828,-82.602195,2018-07-28,2018,"T2"
"160",41.377266,-83.306427,2018-07-12,2018,"T2"
"161",41.372344,-83.316108,2018-07-12,2018,"T2"
"162",43.432884,-80.003253,2018-07-31,2018,"T2"
"163",39.838862,-84.848015,2018-07-28,2018,"T2"
"164",43.081237,-77.670228,2018-07-30,2018,"T2"
"165",35.528072,-82.356854,2018-07-15,2018,"T2"
"166",43.380035,-80.283956,2018-07-07,2018,"T2"
"167",43.151017,-88.218583,2018-07-25,2018,"T2"
"168",38.946228,-92.446573,2018-07-14,2018,"T2"
"169",43.292039,-79.875335,2018-07-30,2018,"T2"
"170",43.419077,-80.121647,2018-07-27,2018,"T2"
"171",29.098847,-82.555278,2018-07-28,2018,"T2"
"172",41.928504,-82.508241,2018-07-21,2018,"T2"
"173",41.377336,-83.304223,2018-07-28,2018,"T2"
"174",40.73062,-89.56292,2018-07-17,2018,"T2"
"175",43.194263,-77.437256,2018-07-20,2018,"T2"
"176",45.268193,-92.75223,2018-07-17,2018,"T2"
"177",36.177922,-86.73075,2018-07-02,2018,"T2"
"178",45.089031,-93.208156,2018-07-22,2018,"T2"
"179",35.513522,-91.995596,2018-07-16,2018,"T2"
"180",38.790816,-83.410767,2018-07-09,2018,"T2"
"181",28.055308,-81.884661,2018-07-26,2018,"T2"
"182",38.606299,-90.340451,2018-07-12,2018,"T2"
"183",43.416105,-80.12178,2018-07-23,2018,"T2"
"184",44.479404,-77.303749,2018-07-24,2018,"T2"
"185",44.024687,-73.398382,2018-07-28,2018,"T2"
"186",41.683,-82.683,2018-07-18,2018,"T2"
"187",42.172698,-82.818899,2018-07-28,2018,"T2"
"188",37.168392,-91.166275,2018-07-04,2018,"T2"
"189",43.415778,-80.10334,2018-07-30,2018,"T2"
"190",43.576788,-84.912717,2018-07-30,2018,"T2"
"191",45.177038,-92.750585,2018-07-29,2018,"T2"
"192",41.531472,-83.158133,2018-07-13,2018,"T2"
"193",39.93811,-86.035393,2018-07-13,2018,"T2"
"194",41.968142,-82.530955,2018-07-21,2018,"T2"
"195",43.228469,-81.870414,2018-07-30,2018,"T2"
"196",40.072202,-82.877522,2018-07-24,2018,"T2"
"197",45.51907,-92.735764,2018-07-20,2018,"T2"
"198",43.10658,-89.80454,2018-07-30,2018,"T2"
"199",41.960179,-82.522376,2018-07-21,2018,"T2"
"200",43.291841,-79.878055,2018-07-30,2018,"T2"
"201",31.669905,-93.301872,2018-07-04,2018,"T2"
"202",33.346976,-93.183732,2018-07-26,2018,"T2"
"203",44.544783,-92.11888,2018-07-28,2018,"T2"
"204",41.783252,-87.578253,2018-07-28,2018,"T2"
"205",40.309856,-82.94072,2018-07-16,2018,"T2"
"206",43.291834,-89.64835,2018-07-25,2018,"T2"
"207",39.803986,-84.061153,2018-07-27,2018,"T2"
"208",42.280621,-89.371222,2018-07-31,2018,"T2"
"209",40.179174,-84.760484,2018-07-28,2018,"T2"
"210",44.767196,-76.253983,2018-07-26,2018,"T2"
"211",42.41309,-85.381838,2018-07-27,2018,"T2"
"212",44.141577,-76.388336,2018-07-31,2018,"T2"
"213",44.48086,-77.304203,2018-07-24,2018,"T2"
"214",39.381781,-86.0161,2018-07-07,2018,"T2"
"215",41.743488,-82.645086,2018-07-24,2018,"T2"
"216",39.793303,-85.966626,2018-07-25,2018,"T2"
"217",42.080463,-87.85556,2018-07-29,2018,"T2"
"218",43.416415,-80.103488,2018-07-30,2018,"T2"
"219",41.962772,-82.51844,2018-07-08,2018,"T2"
"220",42.322366,-83.207136,2018-07-11,2018,"T2"
"221",41.637817,-83.792016,2018-07-13,2018,"T2"
"222",40.391079,-89.886205,2018-07-07,2018,"T2"
"223",44.780392,-76.287583,2018-07-25,2018,"T2"
"224",38.587692,-92.234389,2018-07-02,2018,"T2"
"225",34.014267,-83.698657,2018-07-28,2018,"T2"
"226",45.505006,-76.62988,2018-07-29,2018,"T2"
"227",29.944553,-90.126167,2018-07-07,2018,"T2"
"228",42.338603,-88.353478,2018-07-17,2018,"T2"
"229",45.267752,-92.752173,2018-07-17,2018,"T2"
"230",40.010197,-86.125443,2018-07-18,2018,"T2"
"231",43.099981,-90.100105,2018-07-28,2018,"T2"
"232",40.008722,-83.198428,2018-07-21,2018,"T2"
"233",43.763236,-73.191983,2018-07-29,2018,"T2"
"234",41.690277,-87.926109,2018-07-23,2018,"T2"
"235",41.928726,-84.612283,2018-07-27,2018,"T2"
"236",44.694595,-73.342233,2018-07-24,2018,"T2"
"237",44.264721,-91.917925,2018-07-21,2018,"T2"
